group1,group2,group3,group4,id,x,y,z
1.6041186063885e+16,1.1717261052127e+16,4.0740537313947e+15,1.6275108118319e+16,12.591919191919,12.591919191919,1.625,0
1.6071438089012e+16,1.1714389774325e+16,4.0683264311327e+15,1.6247875692232e+16,12.865656565657,12.865656565657,1.625,0
1.6086040422906e+16,1.1712366557159e+16,4.0653006980653e+15,1.6235580114601e+16,13.139393939394,13.139393939394,1.625,0
1.6087230070347e+16,1.1711033434626e+16,4.0645660580097e+15,1.6236053614649e+16,13.413131313131,13.413131313131,1.625,0
1.6074364674897e+16,1.1710391881594e+16,4.0662388260131e+15,1.6249883841272e+16,13.686868686869,13.686868686869,1.625,0
1.6048168298993e+16,1.1710303222563e+16,4.0702840906949e+15,1.6276344443323e+16,13.960606060606,13.960606060606,1.625,0
1.6009449233797e+16,1.1710741890134e+16,4.0765856089647e+15,1.6314687829996e+16,14.234343434343,14.234343434343,1.625,0
1.595600222847e+16,1.1711871155711e+16,4.0855665332526e+15,1.636705367529e+16,14.508080808081,14.508080808081,1.625,0
1.5889515554512e+16,1.1713644353116e+16,4.0969203938078e+15,1.6431807378257e+16,14.781818181818,14.781818181818,1.625,0
1.5809713623443e+16,1.1716130311344e+16,4.1107124040182e+15,1.6509211449588e+16,15.055555555556,15.055555555556,1.625,0
1.5716559599657e+16,1.171942833803e+16,4.1269918147794e+15,1.6599357930805e+16,15.329292929293,15.329292929293,1.625,0
1.5608268137354e+16,1.1723655109721e+16,4.1460598244413e+15,1.6703828344784e+16,15.60303030303,15.60303030303,1.625,0
1.5486056125341e+16,1.1728865427354e+16,4.1677385104339e+15,1.6821442630045e+16,15.876767676768,15.876767676768,1.625,0
1.5350881949514e+16,1.1734507592816e+16,4.1914967942094e+15,1.6949341489339e+16,16.150505050505,16.150505050505,1.625,0
1.5209786236036e+16,1.1739970747307e+16,4.2163609604557e+15,1.7083093181985e+16,16.424242424242,16.424242424242,1.625,0
1.5062194622048e+16,1.1745362907073e+16,4.2424570569185e+15,1.7223193067467e+16,16.69797979798,16.69797979798,1.625,0
